Year,State,State_ANSI,AG_District,Ag_District_Code,County,County_ANSI,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,annual_GDD,noppt_01,noppt_02,noppt_03,noppt_04,noppt_05,noppt_06,noppt_07,noppt_08,noppt_09,noppt_10,noppt_11,noppt_12,annual_noppt,total_ppt_01,total_ppt_02,total_ppt_03,total_ppt_04,total_ppt_05,total_ppt_06,total_ppt_07,total_ppt_08,total_ppt_09,total_ppt_10,total_ppt_11,total_ppt_12,annual_ppt,avg_tmin_01,avg_tmin_02,avg_tmin_03,avg_tmin_04,avg_tmin_05,avg_tmin_06,avg_tmin_07,avg_tmin_08,avg_tmin_09,avg_tmin_10,avg_tmin_11,avg_tmin_12,avg_tmean_01,avg_tmean_02,avg_tmean_03,avg_tmean_04,avg_tmean_05,avg_tmean_06,avg_tmean_07,avg_tmean_08,avg_tmean_09,avg_tmean_10,avg_tmean_11,avg_tmean_12,avg_tmax_01,avg_tmax_02,avg_tmax_03,avg_tmax_04,avg_tmax_05,avg_tmax_06,avg_tmax_07,avg_tmax_08,avg_tmax_09,avg_tmax_10,avg_tmax_11,avg_tmax_12,avg_tdmean_01,avg_tdmean_02,avg_tdmean_03,avg_tdmean_04,avg_tdmean_05,avg_tdmean_06,avg_tdmean_07,avg_tdmean_08,avg_tdmean_09,avg_tdmean_10,avg_tdmean_11,avg_tdmean_12,avg_vpdmin_01,avg_vpdmin_02,avg_vpdmin_03,avg_vpdmin_04,avg_vpdmin_05,avg_vpdmin_06,avg_vpdmin_07,avg_vpdmin_08,avg_vpdmin_09,avg_vpdmin_10,avg_vpdmin_11,avg_vpdmin_12,avg_vpdmax_01,avg_vpdmax_02,avg_vpdmax_03,avg_vpdmax_04,avg_vpdmax_05,avg_vpdmax_06,avg_vpdmax_07,avg_vpdmax_08,avg_vpdmax_09,avg_vpdmax_10,avg_vpdmax_11,avg_vpdmax_12,Yield
2015,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,77.3,45.4,286.4,519.3,670.6,1097.3,1236.3,1110.5,1039.6,610.6,270.4,73.2,7036.9,28,23,27,19,17,25,21,25,21,22,21,25,274,4.32,19.56,13.21,113.28,181.86,56.39,235.97,37.08,42.42,28.96,78.23,53.59,864.87,-6.02,-6.93,0.56,7.37,11.61,18.86,20.82,18.44,17.32,8.74,2.13,-2.38,1.09,0.36,8.62,14.62,17.02,25.32,27.16,24.9,24.25,15.94,9.02,3.91,8.23,7.66,16.68,21.87,22.43,31.78,33.49,31.36,31.18,23.14,15.92,10.2,-6.61,-6.19,0.03,6.38,11.97,17.43,18.84,17.43,15.32,6.41,2.53,-1.22,0.75,0.44,0.78,1.2,0.88,2.15,3.27,2.01,2.7,2.11,0.73,0.46,9.02,7.63,14.98,17.89,13.78,29.08,32.29,26.95,29.98,19.59,12.18,7.62,7.9
2014,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,27.1,42.4,138.6,447.6,832,1027.6,1078.9,1190.4,901.5,625.6,129.6,42.7,6484,28,23,27,22,22,18,23,24,26,24,26,24,287,3.3,17.78,11.43,20.32,13.97,172.21,173.48,33.78,32.51,20.83,7.37,34.8,541.78,-7.72,-7.51,-3.41,4.91,12.01,18.16,18.23,19.29,14.88,8.12,-2.78,-2.14,0.12,-1.44,4.59,13.22,19.91,24.03,24.33,26.33,21.69,16.21,4.43,2.25,7.96,4.62,12.6,21.53,27.81,29.91,30.46,33.38,28.52,24.31,11.64,6.66,-8.83,-7.74,-4.34,2.5,7.94,17.52,16.74,16.81,13.62,7.81,-3.69,-1.86,0.83,0.59,1.1,1.8,2.66,1.84,2.65,3.5,1.86,1.15,1,0.4,8.33,6.53,11.65,19.75,29.89,23.29,26.94,34.1,24.75,21.18,10.13,4.18,8.65
2012,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,40,54.6,473.6,600.4,947.9,1113.8,1384.1,1148.7,906.4,492.5,265.2,71.6,7498.8,30,21,21,21,28,22,26,22,24,30,29,28,302,1.78,102.11,45.97,86.61,50.04,82.3,26.16,29.21,38.61,1.02,18.8,5.59,488.2,-4.82,-2.79,6.29,9.48,14.23,18.26,21.81,17.51,13.97,5.18,0.56,-4.53,3.11,3.52,13.39,16.12,21.99,25.63,29.81,25.58,21.78,13.53,9.31,2.68,11.03,9.83,20.48,22.76,29.73,32.99,37.8,33.66,29.62,21.88,18.05,9.9,-5.68,-2.66,6.26,9.17,11.58,14.82,14.51,13.07,10.54,2.88,-0.16,-5.41,0.85,0.66,0.9,1.35,3.34,4.13,7.69,4.29,2.96,1.94,1.31,0.78,9.58,7.73,15.16,17.34,29.86,36.91,51.61,39.64,31.72,20.69,15.76,8.71,5.06
2011,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,24.2,91.7,195.2,486.9,762.3,1219.2,1473.6,1357.2,839.6,551.5,179.7,28.1,7209.2,28,23,24,23,27,24,25,21,25,28,25,24,297,8.13,11.68,19.56,29.97,37.34,16.26,17.53,55.63,30.48,49.78,59.44,76.96,412.76,-8.33,-7.76,0.74,5.69,10.92,19.1,23.4,21.61,12.54,7.05,0.58,-3.56,-1.22,0.06,7.63,14.02,18.66,27.58,31.41,29.32,20.55,14.88,7.45,1.94,5.9,7.87,14.52,22.34,26.39,36.06,39.42,37.03,28.54,22.7,14.3,7.46,-7.31,-6.07,0.52,3.5,8.64,13.36,15.77,16.7,8.07,4.56,0.06,-2.62,0.38,0.63,0.82,1.64,1.65,5.65,8.59,5.22,3.9,2.32,0.95,0.4,6.44,8.39,11.63,20.62,25.96,47.59,56.99,46.94,31.18,20.11,11.3,5.31,2.96
2010,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,12.7,2.9,142,539.9,736.8,1162.8,1247.5,1259.9,957.8,590.1,147.7,26.8,6826.9,27,21,25,19,21,25,20,24,27,26,25,30,290,11.18,36.83,23.62,40.13,131.06,103.63,113.54,141.48,54.1,24.89,85.34,2.29,768.09,-6.97,-5.43,0.35,7.59,11.77,20.12,21.31,20.28,15.21,6.98,-0.46,-5.42,-1.2,-0.49,6.84,14.99,18.21,26.53,27.36,27.58,22.74,15.58,6.95,1.07,4.58,4.42,13.32,22.39,24.64,32.94,33.39,34.87,30.27,24.18,14.37,7.57,-6.31,-4.43,1.03,6.47,11.19,18.21,19.41,17.14,14.99,5.42,-0.4,-5.16,0.38,0.28,0.61,1.6,1.37,2.86,2.8,4.09,1.7,1.5,0.88,0.48,4.9,4.07,9.25,18.68,18.18,30.71,31.15,40.06,27.15,21.87,10.9,6.45,7.9
2009,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,33.3,133.2,235.1,401.2,698.5,1113.1,1175.6,1123.6,779.6,291.4,264.4,1.9,6250.9,30,26,24,21,21,20,21,24,20,20,26,27,280,1.27,10.67,57.4,134.37,43.43,109.98,60.45,48.51,85.34,89.15,16,3.81,660.38,-7.58,-3.29,-0.32,4.99,11.23,18.84,18.87,17.98,13.49,4.08,2.68,-7.67,0.46,5.7,7.23,12.18,17.52,25.61,26.07,25.14,19.44,10.02,9.55,-1.44,8.52,14.69,14.78,19.37,23.82,32.38,33.26,32.29,25.39,15.96,16.42,4.78,-8.58,-4.72,-0.96,4.33,10.71,16.02,16.03,16.26,12.88,5.28,3.28,-6.95,0.81,0.9,1.35,1.25,1.38,3.44,2.88,2.44,1.32,0.73,0.71,0.42,9.01,13.42,12.6,14.8,18.37,32.65,35.51,32.05,18.08,9.71,11.41,5.28,8.4
2007,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,13.6,63.1,404.7,359.7,807.3,966.5,1153.9,1288.8,939.1,600.7,208.7,28.3,6834.4,24,24,18,21,19,17,25,24,24,23,29,20,268,31.24,19.05,147.57,70.61,189.74,240.03,82.04,44.2,20.83,56.9,3.3,111.76,1017.27,-6.76,-6,4.81,4.78,13.89,17.32,19.59,21.46,15.43,7.24,-1.49,-5.88,-0.78,0.39,11.94,11.09,19.47,22.9,25.68,28.09,22.39,15.77,7.27,-0.19,5.18,6.79,19.08,17.39,25.05,28.48,31.76,34.73,29.34,24.28,16.05,5.49,-5.8,-4.86,5.19,4.76,14.04,16.75,18.49,18.66,14.38,7.16,-1.93,-4.4,0.45,0.5,0.79,0.98,1.12,1.49,1.88,3.99,2.14,1.61,1.06,0.44,5.51,6.83,13.03,13.36,16.31,20.08,26.81,36.15,25.52,21.7,14.45,4.7,7.66
2006,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,110.9,43.3,251.6,627.6,835.2,1101.3,1308.4,1235.1,749.3,529.3,200.7,53.1,7045.8,27,28,23,26,20,22,23,18,22,25,29,26,289,5.33,0,32.77,39.88,79.76,106.68,110.49,134.87,32.77,22.1,4.57,93.98,663.2,-2.84,-6.29,1.16,7.58,12.78,17.77,20.81,20.92,11.08,6.89,-0.19,-3.82,5.84,2.04,8.68,16.62,19.97,25.39,28.45,27.13,18.88,14.41,7.89,3.16,14.52,10.36,16.21,25.65,27.15,33.02,36.09,33.35,26.67,21.93,15.97,10.13,-4.04,-8.43,-1.17,4.36,10.43,13.7,15.2,17.97,9.89,6.15,-0.26,-3.9,1.13,0.99,1.53,2.78,2.7,4.01,6.31,3.82,2.14,1.74,0.95,0.81,12.36,10.45,14.46,27.15,26.02,36.52,44.68,33.3,23.42,18.74,12.9,7.96,9.14
2005,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,49,74.2,172.2,446.8,786,1050.5,1196.7,1164.8,987.9,576.9,250.7,36.8,6792.5,26,20,27,19,25,21,22,18,26,23,28,27,282,85.09,36.32,18.29,93.73,37.34,176.28,75.18,124.97,14.48,52.32,7.37,8.13,729.5,-5.69,-1.32,0.1,6.31,12.41,17.86,19.46,19.48,15.94,8.13,0.34,-6.81,-0.34,4.81,7.58,13.23,19.08,24.46,26.44,25.87,23.29,15.29,8.81,0.2,5.01,10.92,15.05,20.17,25.77,31.04,33.43,32.26,30.64,22.44,17.28,7.21,-3.84,0.51,-0.31,5.73,11.27,16.04,16.85,17.8,14.23,7.14,-0.59,-6.62,0.31,0.34,0.87,1.31,1.71,3.04,3.72,2.81,2.96,1.79,1.27,0.65,4.71,7.22,12.18,15.22,22.01,28.38,34.08,29.29,28.62,18.18,15,7.17,11.12
2004,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,45.9,52.8,297.2,441.5,868.3,974.7,1124.1,1045.4,949.6,559,173.3,34.4,6566.2,25,22,25,21,26,15,22,19,27,21,16,29,268,52.07,37.08,117.35,88.39,34.54,133.35,93.22,68.07,36.58,84.07,82.55,5.33,832.6,-6.13,-5.9,3.23,6.27,13.3,16.67,18.9,16.97,14.87,8.41,2.63,-5.41,0.49,0.46,10.13,13.09,20.56,23.05,25.14,23.73,22.58,15.02,7.52,2.57,7.11,6.82,17.03,19.91,27.83,29.43,31.39,30.51,30.3,21.62,12.42,10.54,-5.45,-4.16,2.89,6.23,12.01,14.92,17.28,15.65,12.58,9.05,3.78,-4.14,0.52,0.49,1.05,1.04,2.14,1.97,3.05,2.55,3.35,1.13,0.53,0.55,6.44,5.91,12.14,14.72,26.23,25.65,28.18,28.06,30.2,14.25,6.41,8.84,9.14
2003,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,32,45.8,210.6,490.6,734.3,938.6,1341.2,1274.5,751.9,532.9,166.9,32.7,6552,30,19,26,26,23,18,28,21,23,26,28,26,294,0.51,55.37,93.98,68.58,74.42,54.86,35.56,128.27,50.04,59.18,0.51,27.94,649.22,-6.42,-6,0.06,6.42,11.19,15.98,21.12,20.59,12.21,7.19,0.08,-4.44,0.49,0.53,6.86,14.02,18.16,22.38,29.03,27.84,18.92,14.55,6.63,2.22,7.41,7.07,13.66,21.63,25.12,28.79,36.96,35.09,25.65,21.92,13.17,8.88,-6.22,-4.58,0.96,5.83,11.73,16.07,16.89,16.69,11.73,7.74,-0.26,-4.61,0.54,0.44,0.63,1.64,1.08,1.55,4.99,4.29,1.44,1.09,0.85,0.78,7.33,6.83,9.72,17.11,18.67,22.43,45.58,40.16,20.11,15.6,9.26,7.23,8.65
2002,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,52.1,48.1,125.9,494.7,695.3,1082.6,1231.5,1193.8,916.9,346.6,142.6,39.4,6369.5,29,21,28,23,19,23,22,22,24,18,26,27,282,29.72,23.37,9.14,36.83,51.56,82.8,117.09,145.54,22.61,222.5,5.59,28.7,775.45,-6.47,-4.71,-4.53,6.94,10.69,18.39,20.38,19.54,14.56,5.57,-0.83,-4.19,1.66,2.35,4.37,13.99,17.46,25.05,27.07,26.39,21.98,10.89,6.34,1.98,9.81,9.41,13.27,21.04,24.23,31.7,33.77,33.24,29.38,16.23,13.52,8.16,-7.96,-4.63,-4.7,6.48,10.86,17.01,18.49,18.48,13.59,6.98,-0.46,-3.24,1.09,0.62,0.96,1.17,1.29,2.23,2.64,2.46,1.75,0.51,0.62,0.49,9.93,8.15,11.97,17.68,17.65,28.65,33.79,30.78,26.83,8.84,10.66,6.43,10.62
2001,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,6.6,18.7,92.3,547.9,791.3,1025.1,1392.1,1269.9,872.2,502.7,353.6,72.1,6944.5,24,22,19,24,19,23,27,23,23,29,25,29,287,27.69,59.94,50.55,16,114.55,90.68,6.6,20.83,77.98,2.29,7.62,3.05,477.78,-5.57,-5.05,-0.74,7.64,12.13,16.87,22.35,19.81,14.04,5.36,3.66,-4.54,0.33,0.72,5.26,15.14,19.18,23.98,29.95,27.76,21.15,14.01,10.31,3.5,6.24,6.49,11.25,22.66,26.23,31.12,37.53,35.7,28.27,22.67,16.94,11.54,-3.96,-2.97,0.55,7.46,12.96,16.18,17.82,16.16,13.23,4.69,4.56,-4.53,0.33,0.28,0.35,1.39,0.86,2.48,5.91,4.72,1.69,1.54,0.86,0.64,5.14,4.55,7.38,17.24,18.93,26.94,47.1,42.32,23.62,19.04,10.92,9.63,10.13
2000,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,25.4,110.2,220.4,403.2,814.2,949.8,1195.7,1359,959.8,601.1,80.6,4.9,6724.3,25,23,14,23,23,20,22,30,27,19,27,26,279,15.49,55.63,198.88,30.23,105.16,111.51,99.82,0.25,4.06,151.89,20.57,12.95,806.44,-5.93,-3.01,1.77,4.69,12.29,16.27,19.19,21.32,13.36,9.34,-2.35,-9.11,1.19,4.71,8.28,12.42,19.59,22.59,26.43,29.36,22.77,15.58,3.94,-3.27,8.29,12.43,14.8,20.16,26.91,28.91,33.67,37.39,32.2,21.82,10.23,2.56,-5.29,-1.45,3.63,5.29,12.45,15.54,18.23,15.29,8.79,9.11,-2.32,-7.91,0.49,0.55,0.4,0.94,1.46,1.52,2.28,7.11,4.56,1.27,0.62,0.41,7.57,9.48,9.61,15.19,22.84,22.64,32.53,48.24,40.44,15.24,7.44,4.08,11.12
1999,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,23.4,117,139.1,409,734.1,937.5,1263.1,1212.7,778.1,517.8,330,53.6,6515.4,26,27,26,19,21,14,24,20,19,29,29,25,279,54.1,2.79,62.74,151.38,114.55,138.68,55.88,49.53,64.77,9.91,1.02,26.42,731.77,-5.84,-0.73,-0.23,6.15,11.5,16.6,20.98,18.88,13.1,5.64,1.63,-4.02,0.58,6.54,6.12,12.57,18.16,22.36,27.64,26.73,19.41,14.28,10.84,3.11,7.02,13.82,12.46,19,24.8,28.12,34.3,34.58,25.71,22.91,20.06,10.22,-5.46,-1.18,-0.58,6.25,11.57,17.32,18.44,17.48,12.47,4.26,1.25,-2.98,0.49,0.87,0.77,0.91,1.18,0.79,4.1,2.58,1.51,1.6,1.05,0.6,6.53,10.69,9.48,13.21,17.98,18.88,34.49,35.89,20.13,20.26,17.38,7.64,10.87
1998,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,42.2,55.7,144.6,352.9,849,1077.9,1270.2,1186.3,1088.1,567.6,215.6,89.7,6939.8,28,26,21,23,23,25,15,24,26,22,23,26,282,12.7,14.99,98.55,43.94,49.53,11.68,113.03,54.36,6.35,129.03,124.71,4.83,663.7,-3.66,-1.39,-2.1,4.45,13.12,16.57,20.61,18.61,16.75,8.44,2.86,-4.39,2.08,4.76,3.85,11.45,20.22,24.96,27.76,26.26,25.15,15.17,8.77,2.13,7.84,10.92,9.79,18.46,27.31,33.36,34.91,33.92,33.54,21.9,14.68,8.66,-2.36,0.17,-0.78,3.72,13.98,14.04,18.87,16.66,14.48,9.12,4.25,-2.99,0.46,0.39,0.43,1.25,1.03,4.15,2.68,2.58,2.74,0.95,0.52,0.43,5.91,7.23,7.42,14.38,20.34,39.02,34.83,35.94,37.47,14.79,8.46,6.8,8.65
1997,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,67.5,63.8,256,330.4,686,975.9,1208.3,1111.5,928.2,540.6,139.4,9.3,6316.9,28,22,27,17,22,14,22,20,20,23,25,17,257,6.86,50.8,5.84,113.28,65.79,141.99,45.47,146.56,111.25,63.5,14.48,67.31,833.13,-7.25,-2.97,-0.23,3.64,9.47,16.27,19.53,18.57,15.51,7.47,-0.43,-3.28,-0.26,3.08,8.92,10.31,17.29,23.07,26.66,24.92,22.19,14.41,6.2,1.68,6.76,9.13,18.07,16.97,25.12,29.86,33.78,31.28,28.87,21.35,12.82,6.64,-7.44,-2.07,-0.56,3.66,9.32,16.42,18.32,18.67,15.45,8.59,-0.44,-2.66,0.67,0.46,1.15,1.12,1.47,1.27,2.42,1.62,1.59,0.99,0.84,0.5,7.56,7.05,15.99,12.44,21.17,24.71,32.88,24.92,23.55,15.52,9.61,5.08,8.65
1996,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,24.9,131.1,112.7,405.9,891,1071.9,1184.4,1099.4,767.9,516.8,86.2,45.7,6337.9,31,27,23,29,25,20,18,18,19,24,20,29,283,0,5.59,45.97,6.86,55.63,96.01,147.32,164.08,166.62,37.85,103.89,7.37,837.19,-8.93,-6.83,-3.9,3.04,13.54,17.52,19.1,18.97,12.77,7.04,-1.34,-6.28,-1.14,2.9,4.06,12.42,20.97,24.85,26.23,24.7,19.22,14.26,4.78,1.22,6.64,12.63,12.02,21.81,28.39,32.2,33.35,30.42,25.67,21.47,10.91,8.73,-8.99,-8.69,-6.08,-0.07,12.85,16.85,17.83,18.76,13.65,6.8,-0.42,-5.19,0.79,1.4,1.42,2.23,1.96,1.63,2.38,1.21,0.77,1.19,0.57,0.56,7.66,14.35,10.42,21.75,25.94,30.96,33.96,22.28,18.33,16.61,7.01,7.71,8.15
1995,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,19.2,138.2,267.1,336.5,558.1,919.3,1184.7,1231.7,820.8,493,160.4,56.3,6185.3,25,25,23,23,17,17,25,24,23,28,26,24,280,28.19,4.57,75.18,102.36,188.72,135.38,86.87,109.98,66.55,9.14,7.11,31.75,845.8,-5.11,-2.67,0.64,3.31,9.23,15.27,18.42,20.03,13.49,4.32,-2.8,-5.53,1.24,5.4,6.91,10.99,15,22.02,26.23,27.07,20.19,13.82,6.49,1.04,7.58,13.48,13.17,18.68,20.77,28.79,34.04,34.12,26.88,23.33,15.78,7.63,-4.12,-3.08,1.05,4.61,10.78,14.93,16.41,18.32,13.09,2.85,-2.73,-5.38,0.67,1.07,0.84,0.66,0.69,1.52,2.97,3.2,1.65,2,1.3,0.76,6.01,12.16,10.47,14.09,11.75,23.9,37.05,33.96,23.23,22.15,13.41,7.07,8.4
1994,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,23,46.1,262.1,452.1,756.4,1160.5,1155.6,1204.8,850.9,571.8,166,54.8,6704.1,29,26,28,23,24,24,22,26,24,22,25,29,302,10.92,25.91,4.83,69.34,41.15,69.34,98.55,36.07,52.83,74.93,44.7,17.27,545.84,-6.74,-7.51,0.09,4.77,11.41,18.76,18.24,18.58,13.34,8.03,0.92,-2.66,0.35,0.18,9.08,13,18.55,26.49,25.71,26.59,20.76,15.25,7.58,3.6,7.43,7.87,18.09,21.23,25.7,34.23,33.19,34.61,28.18,22.46,14.26,9.86,-6.67,-8.17,-1.77,2.82,11.07,16.11,16.37,15.37,11.61,7.44,1.24,-1.17,0.81,0.95,1.72,2.27,1.99,3.89,3.07,4.32,2.59,1.82,1.14,0.35,6.72,8.46,17.39,20.04,21.12,37.26,33.73,40.17,25.42,17.26,9.7,6.78,8.15
1993,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,1.2,30.8,136.6,334.6,702.9,989.1,1256.4,1222.1,764.9,470.9,83.1,38.2,6030.8,24,22,25,24,15,22,23,25,25,28,25,28,286,43.43,60.96,82.8,54.86,201.17,86.36,111,122.43,29.72,9.14,27.43,10.16,839.46,-6.62,-5.14,-0.22,4.39,11.81,16.76,20.9,19.76,11.27,4.89,-3.29,-4.02,-1.85,0.57,6.08,11.08,17.59,23.32,27.52,26.9,19.17,12.91,4.31,3.1,2.93,6.27,12.37,17.77,23.38,29.88,34.14,34.06,27.07,20.93,11.93,10.21,-5.56,-3.56,0.31,3.89,11.95,15.93,18.53,16.81,10.66,3.99,-4.16,-4.09,0.45,0.46,0.74,1.36,1.54,2.13,4.39,4.46,1.82,1.61,1.19,0.93,3.26,4.96,8.91,13.52,15.3,25.77,32.88,36.68,24.36,18.25,10.02,8.31,8.27
1992,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,37,147.9,306.2,468.2,733.9,896.8,1172.5,1003,883.3,566.5,117.3,10.5,6343.1,28,24,25,23,24,16,23,22,28,27,20,26,286,21.34,6.1,30.48,49.53,76.2,180.85,71.88,94.23,7.37,41.15,117.6,35.31,732.04,-2.32,0.07,2.39,6.47,11.78,15.82,19.09,16.62,13.58,6.86,0.14,-4.65,4.08,6.99,10.01,13.61,18.15,21.61,26.01,22.97,21.36,15.15,5.14,0.84,10.51,13.91,17.63,20.77,24.53,27.41,32.93,29.33,29.13,23.46,10.14,6.31,-2.56,-0.31,2.11,6.28,9.85,15.31,17.66,15.59,12.18,5.89,0.73,-3.72,0.89,1.13,1.43,1.48,2.29,1.81,3.09,2.36,2.64,1.8,0.73,0.59,7.75,10.64,13.47,15.22,19.45,20.56,31.55,24.39,27.44,21.55,6.33,4.63,9.02
1991,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,0.5,150,277.8,543.5,889.5,1130.3,1309.7,1218.1,875.8,600.8,79.6,43.7,7119.3,27,28,26,24,19,23,25,22,24,28,24,24,294,11.18,0,45.21,85.85,95.25,86.87,45.72,36.07,29.97,44.7,71.12,57.4,609.34,-7.58,-1.68,1.49,8.05,14.82,19.56,20.88,19.09,14.5,6.68,-1.87,-1.36,-1.68,7.26,9.28,15.07,20.94,25.93,28.47,26.83,21.22,15.38,3.66,3.82,4.21,16.21,17.06,22.08,27.06,32.31,36.07,34.57,27.94,24.08,9.19,9,-6.7,-3.99,-1.02,6.31,13.83,16.83,15.33,14.73,11.5,3.54,-1.4,-1.62,0.59,1.55,2.05,2.14,2.28,4.15,7.1,5.36,3.49,3.02,0.85,0.84,4.63,14.25,15.59,18.23,21.18,31.23,45.54,40.47,24.57,24.67,5.84,6.29,3.53
1990,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,61.8,68.8,238.5,427.6,701.8,1202.1,1231.3,1225.8,1003.4,503.6,304.2,33.8,7002.7,27,21,24,21,21,27,23,21,23,29,26,27,290,29.72,60.96,48.77,50.8,71.37,22.1,54.36,49.78,73.91,22.1,33.53,16.26,533.66,-3.76,-3.33,2.01,5.94,11.46,19.78,19.79,19.56,15.68,5.91,2.34,-7.31,3.74,3.81,8.23,12.88,17.58,27.26,27.07,26.97,23.58,14.03,10.06,-0.66,11.24,10.95,14.44,19.81,23.69,34.75,34.33,34.38,31.51,22.14,17.79,6.01,-4.34,-3.48,2.19,5.26,10.48,16.23,14.77,15.4,11.64,4.47,2.17,-7.4,0.92,0.83,0.87,1.56,2.03,5.14,6.46,5.6,4.7,2.1,1.36,0.83,9.29,9.54,10.21,14.23,17.39,38.88,40.07,39.58,35.79,18.87,14.26,6.8,6.87
1989,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,49.8,21.7,272.5,580.6,774.7,906.1,1166.1,1087,748.9,590,206.5,28.4,6432.3,27,21,26,28,23,17,25,18,25,29,30,28,297,11.94,13.72,64.52,7.37,134.62,201.42,38.35,165.35,65.02,3.56,0,7.87,713.74,-4.43,-8.42,-0.66,8.03,12.52,15.78,19.02,18.59,12.17,6.75,-1.39,-10.45,3.43,-2.35,7.95,15.63,18.88,21.78,25.9,24.48,18.87,15.38,7.61,-3.31,11.29,3.71,16.56,23.22,25.25,27.78,32.77,30.38,25.57,24.03,16.62,3.83,-5.41,-9.19,-2.28,3.71,9.87,14.72,16.81,17.58,12.02,5.68,-3.03,-9.54,1.03,0.73,1.53,3.3,2.85,2.56,3.56,1.87,1.55,2.02,1.52,0.59,9.72,5.89,14.83,23.23,20.97,21.18,31.85,24.2,19.19,22.23,14.81,5.91,9.39
1988,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,28.3,63.5,205.3,381.7,835.2,1117.5,1219.6,1279.4,881.5,457.6,231,57.6,6758.2,28,29,24,23,24,26,25,26,23,23,27,29,307,25.15,0,57.66,105.41,49.53,42.93,58.67,28.19,37.59,39.12,13.21,4.32,461.78,-8.25,-6.07,-0.36,5.04,13.29,18.12,19.88,20.19,13.83,6.08,0.72,-4.91,-2.28,1.77,6.93,12.07,19.97,25.69,26.86,27.93,21.32,13.2,8.37,3.54,3.68,9.61,14.23,19.1,26.65,33.28,33.82,35.67,28.82,20.33,16.01,11.99,-7.32,-6.49,-2.59,3.36,10.72,14.49,17.51,16.04,12.08,4.7,-0.27,-5.77,0.45,0.95,1.44,1.65,2.79,4.43,3.58,5.01,2.9,1.61,1.54,1.06,4.75,9.92,12.83,16.12,23.1,36.55,34.46,41.85,26.63,16.65,13.56,10.91,10.87
1987,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,13.5,81.4,202.9,458,844.5,1046.7,1158.5,1189.2,856.9,434.5,237.4,54.1,6577.6,25,16,24,28,17,18,23,22,22,25,23,24,267,32.26,56.39,89.15,23.62,195.83,124.21,63.25,92.71,91.19,11.43,23.62,35.56,839.22,-6.26,-0.81,0.51,5.14,13.43,17.16,19.16,19.58,13.79,4.65,1.97,-3.84,-0.31,5.22,7.22,13.38,20.13,24.38,25.76,26.31,20.87,12.79,8.57,1.86,5.63,11.23,13.93,21.61,26.83,31.61,32.36,33.03,27.94,20.92,15.16,7.56,-5.11,-0.28,0.96,3.44,13.81,16.22,17.26,16.07,12.65,3.03,0.81,-2.9,0.51,0.52,0.61,2.08,0.8,1.69,3.6,5.04,2.73,1.78,1.58,0.36,5.34,8.32,10.64,19.88,20.45,29.48,29.92,34.6,23.05,18.83,11.62,6.06,11.36
1986,KANSAS,20,SOUTH CENTRAL,60,BARBER,7,75.9,148.7,316.6,535.7,799.2,1074.4,1301.6,1116.6,928.9,488.2,96.9,9.1,6891.8,31,23,26,24,24,22,25,21,20,24,27,26,293,0,11.94,16.26,24.64,85.09,124.46,51.82,169.42,88.14,105.16,38.35,22.35,737.63,-4.06,-2.62,2.37,7.39,12.65,18.39,21.02,19.12,15.82,7.6,-2.14,-3.46,4.35,4.03,10.27,14.92,19.32,24.89,28.33,25.01,22.2,13.72,4.85,2.4,12.76,10.68,18.19,22.46,26,31.4,35.63,30.91,28.58,19.84,11.86,8.25,-6.42,-3.29,1.22,5.91,10.93,17.54,16.84,16.89,15.59,8.87,-1.25,-2.12,1.4,1.16,1.47,2.28,2.57,2.12,6.09,3.37,2.33,0.64,0.69,0.22,11.72,10.04,16.16,18.94,21.16,27.34,41.6,26.63,22.84,12.27,8.7,6.2,12.35
